LINE 227 : 2021-04-20 14:52:36,454 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 1337: 2021-04-20 14:52:42,407 [DEBUG   ] findfont: score(<Font 'DejaVu Serif' (DejaVuSerifCondensed-Bold.ttf) normal normal 700 condensed>) = 10.25
LINE 1337: 2021-04-20 14:52:42,407 [DEBUG   ] findfont: score(<Font 'TeX Gyre Heros' (texgyreheros-bold.otf) normal normal 700 normal>) = 10.05
LINE 1337: 2021-04-20 14:52:42,407 [DEBUG   ] findfont: score(<Font 'FreeMono' (FreeMonoOblique.ttf) oblique normal 400 normal>) = 11.335
LINE 1337: 2021-04-20 14:52:42,407 [DEBUG   ] findfont: score(<Font 'GFS Gazis' (GFSGazis.otf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,407 [DEBUG   ] findfont: score(<Font 'TeX Gyre Pagella' (texgyrepagella-regular.otf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,407 [DEBUG   ] findfont: score(<Font 'EB Garamond' (EBGaramond12-Italic.ttf) italic normal 400 normal>) = 11.335
LINE 1337: 2021-04-20 14:52:42,407 [DEBUG   ] findfont: score(<Font 'Go Medium' (Go-Medium-Italic.ttf) italic normal 500 normal>) = 11.24
LINE 1337: 2021-04-20 14:52:42,407 [DEBUG   ] findfont: score(<Font 'Noto Sans Display' (NotoSansDisplay-BoldItalic.ttf) italic normal 700 normal>) = 11.05
LINE 1337: 2021-04-20 14:52:42,407 [DEBUG   ] findfont: score(<Font 'Gillius ADF' (GilliusADF-Bold.otf) normal normal 700 normal>) = 10.05
LINE 1337: 2021-04-20 14:52:42,407 [DEBUG   ] findfont: score(<Font 'C059' (C059-Roman.otf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,407 [DEBUG   ] findfont: score(<Font 'AR PL KaitiM GB' (gkai00mp.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,407 [DEBUG   ] findfont: score(<Font 'Go Medium' (Go-Medium.ttf) normal normal 500 normal>) = 10.24
LINE 1337: 2021-04-20 14:52:42,407 [DEBUG   ] findfont: score(<Font 'UnDinaru' (UnDinaru.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,407 [DEBUG   ] findfont: score(<Font 'Carlito' (Carlito-BoldItalic.ttf) italic normal 700 normal>) = 11.05
LINE 1337: 2021-04-20 14:52:42,407 [DEBUG   ] findfont: score(<Font 'Khmer OS' (KhmerOS.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,407 [DEBUG   ] findfont: score(<Font 'Laksaman' (Laksaman-Bold.ttf) normal normal 700 normal>) = 10.05
